number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
35,-0.5258620689655172,2026-06-22 07:41:06.751844,2026-06-22 07:42:19.566800,0 days 00:01:12.814956,0.6532223533299731,0.016945995721603414,5,20,772,29,2.6147885882490898,2.3694823871056999e-07,0.5885791230601247,COMPLETE
36,-0.5344827586206896,2026-06-22 07:42:19.568800,2026-06-22 07:43:18.318998,0 days 00:00:58.750198,0.6526195662021024,0.016855601842692986,8,20,713,28,3.0090341892615062,1.8974782837818269e-07,0.5716720768856821,COMPLETE
37,-0.5258620689655172,2026-06-22 07:43:18.319978,2026-06-22 07:43:56.755013,0 days 00:00:38.435035,0.5733001015583127,0.02686509091332202,8,31,692,27,2.415033586545882,0.09924993920175663,0.56797568302968,COMPLETE
38,-0.49137931034482757,2026-06-22 07:43:56.756010,2026-06-22 07:44:13.962197,0 days 00:00:17.206187,0.7145952451625038,0.059985707448814235,10,10,510,35,5.317950940762494e-06,0.5457123563989268,0.6551639016078484,COMPLETE
39,-0.4827586206896552,2026-06-22 07:44:13.963579,2026-06-22 07:44:28.493731,0 days 00:00:14.530152,0.6701120513607601,0.08925219229756298,9,21,359,21,4.181833741170822,1.7098428359999563e-06,0.5172930468280318,COMPLETE
40,-0.3017241379310345,2026-06-22 07:44:28.495160,2026-06-22 07:44:37.891433,0 days 00:00:09.396273,0.5007250058963768,0.16307885736354136,8,16,581,52,0.8799947108270749,2.5637656943843002e-05,0.574133689123635,COMPLETE
41,-0.5258620689655172,2026-06-22 07:44:37.892434,2026-06-22 07:45:44.765124,0 days 00:01:06.872690,0.6390535745714715,0.017835398098828812,9,20,779,28,3.1257496940868985,2.9183166559668007e-07,0.5982894674009418,COMPLETE
42,-0.5172413793103449,2026-06-22 07:45:44.766123,2026-06-22 07:46:46.399650,0 days 00:01:01.633527,0.6572058234944079,0.015313495027137409,10,24,643,40,1.3865136710134474,9.904023485638978e-08,0.5549975147481804,COMPLETE
43,-0.4827586206896552,2026-06-22 07:46:46.400650,2026-06-22 07:47:02.019753,0 days 00:00:15.619103,0.5909934861430765,0.022341806085685534,4,28,693,28,0.379390695410125,5.706631289189559e-07,0.5957202956591534,COMPLETE
44,-0.5,2026-06-22 07:47:02.020755,2026-06-22 07:47:22.799214,0 days 00:00:20.778459,0.6913211282313466,0.018457567126101956,7,16,767,34,0.13677703529814947,5.214854563117159e-06,0.5121283744567083,COMPLETE
45,-0.47413793103448276,2026-06-22 07:47:22.800188,2026-06-22 07:47:39.068350,0 days 00:00:16.268162,0.6197404950551645,0.03305251411048875,8,35,434,48,9.161363568699894e-07,0.3557005907078984,0.6459035591898032,COMPLETE
46,-0.4827586206896552,2026-06-22 07:47:39.069345,2026-06-22 07:48:19.775532,0 days 00:00:40.706187,0.6062007504955429,0.015086426547943448,9,20,560,142,5.344621864944922,3.8087804123318806e-08,0.6819896716148263,COMPLETE
47,-0.5,2026-06-22 07:48:19.776513,2026-06-22 07:48:57.552669,0 days 00:00:37.776156,0.654546673481458,0.012680230073087438,5,24,386,56,0.0465207665897361,2.312013889733793e-07,0.5467004676121549,COMPLETE
48,-0.5086206896551724,2026-06-22 07:48:57.552669,2026-06-22 07:49:31.861770,0 days 00:00:34.309101,0.9660418002767922,0.02913955289346188,8,61,825,40,1.3712330623833484,3.123955269373774,0.5933500009780154,COMPLETE
49,-0.5172413793103449,2026-06-22 07:49:31.862794,2026-06-22 07:50:14.067783,0 days 00:00:42.204989,0.7441311108145456,0.02161102986980533,7,13,726,26,8.559813755896272,2.034068874554484e-05,0.7709917278645344,COMPLETE
